portname;prttype;prtsize;latitude;longitude;iso3_op;top_left_lat;top_left_long;top_right_lat;top_right_long;bot_right_lat;bot_right_long;bot_left_lat;bot_left_long
Cebu;Sea;Very Small;10,62832;124,40972;PHL;10,67832;124,45972;10,57832;124,45972;10,67832;124,35972;10,57832;124,35972
Coco Grove Nature Resort;Sea;Very Small;10,61768;124,2838;PHL;11,11768;124,7838;10,11768;124,7838;11,11768;123,7838;10,11768;123,7838
Pomala;Sea;Small;-4,1828;121,59489;IDN;-3,6828;122,09489;-4,6828;122,09489;-3,6828;121,09489;-4,6828;121,09489
Telok Ayer;Unknown;Small;-0,76919;109,57272;IDN;-0,26919;110,07272;-1,26919;110,07272;-0,26919;109,07272;-1,26919;109,07272
My Tho;River;Unknown;10,34402;106,3285;VNM;10,84402;106,8285;9,84402;106,8285;10,84402;105,8285;9,84402;105,8285
Bassein;River;Very Small;16,78112;94,73082;MMR;17,28112;95,23082;16,28112;95,23082;17,28112;94,23082;16,28112;94,23082
Woodlands;Sea;Unknown;1,45201;103,77974;SGP;1,95201;104,27974;0,95201;104,27974;1,95201;103,27974;0,95201;103,27974
Moulmein;Sea;Small;16,49322;97,6175;MMR;16,99322;98,1175;15,99322;98,1175;16,99322;97,1175;15,99322;97,1175
Sittwe;Sea;Medium;20,14001;92,90128;MMR;20,64001;93,40128;19,64001;93,40128;20,64001;92,40128;19,64001;92,40128
Bugo;Sea;Small;8,50849;124,75312;PHL;9,00849;125,25312;8,00849;125,25312;9,00849;124,25312;8,00849;124,25312
Thi Nai;Sea;Unknown;13,7813;109,22867;VNM;14,2813;109,72867;13,2813;109,72867;14,2813;108,72867;13,2813;108,72867
Kuantan;Sea;Unknown;3,97809;103,42386;MYS;4,47809;103,92386;3,47809;103,92386;4,47809;102,92386;3,47809;102,92386
Kerteh Terminal;Sea;Unknown;4,58999;103,45553;MYS;5,08999;103,95553;4,08999;103,95553;5,08999;102,95553;4,08999;102,95553
Port Kelang;Sea;Unknown;3,02802;101,36368;MYS;3,52802;101,86368;2,52802;101,86368;3,52802;100,86368;2,52802;100,86368
Banten;Sea;Medium;-6,01375;105,95816;IDN;-5,51375;106,45816;-6,51375;106,45816;-5,51375;105,45816;-6,51375;105,45816
Hongai;Sea;Very Small;20,9484;107,08111;VNM;21,4484;107,58111;20,4484;107,58111;21,4484;106,58111;20,4484;106,58111
Labuan;Sea;Unknown;5,27616;115,24334;MYS;5,77616;115,74334;4,77616;115,74334;5,77616;114,74334;4,77616;114,74334
Balogo;Sea;Medium;13,75936;121,04326;PHL;14,25936;121,54326;13,25936;121,54326;14,25936;120,54326;13,25936;120,54326
Map Ta Phut;Sea;Medium;12,66904;101,15214;THA;13,16904;101,65214;12,16904;101,65214;13,16904;100,65214;12,16904;100,65214
Barcelona;Sea;Unknown;10,82046;123,55672;PHL;11,32046;124,05672;10,32046;124,05672;11,32046;123,05672;10,32046;123,05672
Langkawi;Sea;Unknown;6,31061;99,85596;MYS;6,81061;100,35596;5,81061;100,35596;6,81061;99,35596;5,81061;99,35596
General Santos;Sea;Small;6,09409;125,15525;PHL;6,59409;125,65525;5,59409;125,65525;6,59409;124,65525;5,59409;124,65525
Caticlan;Sea;Small;11,92782;121,95044;PHL;12,42782;122,45044;11,42782;122,45044;12,42782;121,45044;11,42782;121,45044
Polloc;Sea;Medium;7,35111;124,22257;PHL;7,85111;124,72257;6,85111;124,72257;7,85111;123,72257;6,85111;123,72257
Bangkok;River;Medium;13,70734;100,56578;THA;14,20734;101,06578;13,20734;101,06578;14,20734;100,06578;13,20734;100,06578
Dong Hoi;Sea;Unknown;17,45737;106,63216;VNM;17,95737;107,13216;16,95737;107,13216;17,95737;106,13216;16,95737;106,13216
Talibon;Sea;Unknown;10,15141;124,327;PHL;10,65141;124,827;9,65141;124,827;10,65141;123,827;9,65141;123,827
Liloan;Sea;Small;10,15907;125,12508;PHL;10,65907;125,62508;9,65907;125,62508;10,65907;124,62508;9,65907;124,62508
Baybay;Sea;Small;10,67586;124,79863;PHL;11,17586;125,29863;10,17586;125,29863;11,17586;124,29863;10,17586;124,29863
Hilongos;Sea;Small;10,3707;124,74379;PHL;10,8707;125,24379;9,8707;125,24379;10,8707;124,24379;9,8707;124,24379
San Isidro;Sea;Very Small;11,40489;124,35045;PHL;11,90489;124,85045;10,90489;124,85045;11,90489;123,85045;10,90489;123,85045
Surigao;Sea;Small;9,81533;125,45457;PHL;10,31533;125,95457;9,31533;125,95457;10,31533;124,95457;9,31533;124,95457
Belawan;Sea;Medium;3,79246;98,71623;IDN;4,29246;99,21623;3,29246;99,21623;4,29246;98,21623;3,29246;98,21623
Gorontalo;Sea;Small;0,49764;123,06938;IDN;0,99764;123,56938;-0,00236;123,56938;0,99764;122,56938;-0,00236;122,56938
Vung Tau;Sea;Small;10,33871;107,07185;VNM;10,83871;107,57185;9,83871;107,57185;10,83871;106,57185;9,83871;106,57185
